Column1	Company Name	Status Mission	Country	Year	Mission Outcome Summary	Mission Outcome Sort Order
2634	RVSN USSR	Success	 Russia	1977	Success	1
2635	RVSN USSR	Success	 Russia	1977	Success	1
2637	RVSN USSR	Success	 Russia	1977	Success	1
2638	RVSN USSR	Success	 Russia	1977	Success	1
2639	RVSN USSR	Success	 Russia	1977	Success	1
2640	RVSN USSR	Success	 Russia	1977	Success	1
2645	RVSN USSR	Success	 Russia	1977	Success	1
2646	RVSN USSR	Success	 Russia	1977	Success	1
2648	RVSN USSR	Success	 Russia	1977	Success	1
2649	RVSN USSR	Success	 Russia	1977	Success	1
2650	RVSN USSR	Success	 Russia	1977	Success	1
2652	RVSN USSR	Success	 Russia	1977	Success	1
2653	RVSN USSR	Success	 Russia	1977	Success	1
2654	RVSN USSR	Success	 Russia	1977	Success	1
2658	RVSN USSR	Success	 Russia	1977	Success	1
2659	RVSN USSR	Success	 Russia	1977	Success	1
2662	RVSN USSR	Success	 Russia	1977	Success	1
2664	RVSN USSR	Success	 Russia	1977	Success	1
2667	RVSN USSR	Success	 Russia	1977	Success	1
2668	RVSN USSR	Success	 Russia	1977	Success	1
2669	RVSN USSR	Success	 Russia	1977	Success	1
2671	RVSN USSR	Success	 Russia	1977	Success	1
2672	RVSN USSR	Success	 Russia	1977	Success	1
2673	RVSN USSR	Success	 Russia	1977	Success	1
2674	RVSN USSR	Success	 Russia	1977	Success	1
2675	RVSN USSR	Success	 Russia	1977	Success	1
2680	RVSN USSR	Success	 Russia	1977	Success	1
2681	RVSN USSR	Success	 Russia	1977	Success	1
2682	RVSN USSR	Success	 Russia	1977	Success	1
2683	RVSN USSR	Success	 Russia	1977	Success	1
2685	RVSN USSR	Success	 Russia	1977	Success	1
2686	RVSN USSR	Success	 Russia	1977	Success	1
2687	RVSN USSR	Success	 Russia	1977	Success	1
2688	RVSN USSR	Success	 Russia	1977	Success	1
2689	RVSN USSR	Success	 Russia	1977	Success	1
2690	RVSN USSR	Success	 Russia	1977	Success	1
2691	RVSN USSR	Success	 Russia	1977	Success	1
2692	RVSN USSR	Success	 Russia	1977	Success	1
2693	RVSN USSR	Success	 Russia	1977	Success	1
2696	RVSN USSR	Success	 Russia	1977	Success	1
2700	RVSN USSR	Success	 Russia	1977	Success	1
2702	RVSN USSR	Success	 Russia	1977	Success	1
2703	RVSN USSR	Success	 Russia	1977	Success	1
2704	RVSN USSR	Success	 Russia	1977	Success	1
2705	RVSN USSR	Success	 Russia	1977	Success	1
2707	RVSN USSR	Success	 Russia	1977	Success	1
2709	RVSN USSR	Success	 Russia	1977	Success	1
2710	RVSN USSR	Success	 Russia	1977	Success	1
2713	RVSN USSR	Success	 Russia	1977	Success	1
